CRC;Date;Time;Latitude;Longitude;Fix
OK(corrected);11/05/2023;16:46:56;4,5890431;-52,1086845;2D
OK;20/05/2023;00:02:08;4,6450558;-52,1582222;3D
OK;20/05/2023;01:01:52;4,6450558;-52,1582222;3D
OK;20/05/2023;02:01:36;4,6450815;-52,1582451;3D
OK;20/05/2023;03:01:20;4,6450558;-52,1582451;3D
OK;20/05/2023;04:01:04;4,645133;-52,1584015;3D
OK;20/05/2023;05:00:48;4,6451073;-52,1582222;3D
OK;20/05/2023;06:00:32;4,6450815;-52,1582222;3D
OK;20/05/2023;07:00:16;4,6450558;-52,1582985;3D
OK;20/05/2023;08:00:00;4,6450815;-52,1582451;3D
OK;20/05/2023;08:59:44;4,6450815;-52,1582222;3D
OK;20/05/2023;09:59:28;4,6450815;-52,1582985;3D
OK;20/05/2023;10:59:12;4,6450815;-52,1582451;3D
OK;20/05/2023;11:58:56;4,6451583;-52,1583481;3D
OK;20/05/2023;12:58:40;4,645133;-52,1582985;3D
OK;20/05/2023;14:02:40;4,645133;-52,1582718;3D
OK;20/05/2023;15:02:24;4,6450815;-52,1582985;3D
OK;20/05/2023;16:02:08;4,6450305;-52,1581688;3D
OK;20/05/2023;17:01:52;4,645133;-52,1582718;3D
OK;20/05/2023;18:01:36;4,6450558;-52,1582985;3D
OK;20/05/2023;19:01:20;4,6451073;-52,1581955;3D
OK;20/05/2023;20:01:04;4,6450815;-52,1582451;3D
OK;20/05/2023;21:00:48;4,6450558;-52,1582718;3D
OK;20/05/2023;22:00:32;4,6451583;-52,1581955;3D
OK;20/05/2023;23:00:16;4,6450305;-52,1582222;3D
OK;21/05/2023;00:00:00;4,6450558;-52,1582718;3D
OK;21/05/2023;00:59:44;4,6450815;-52,1582222;3D
OK;21/05/2023;01:59:28;4,6451073;-52,1582451;3D
OK;21/05/2023;02:59:12;4,6450815;-52,1582451;3D
OK;21/05/2023;03:58:56;4,6450558;-52,1582451;3D
OK;21/05/2023;04:58:40;4,6444926;-52,1568146;3D
OK;21/05/2023;06:02:40;4,6305666;-52,1440659;3D
OK;21/05/2023;07:02:24;4,6305919;-52,1439857;3D
OK;21/05/2023;08:02:08;4,6252418;-52,1424522;3D
OK;21/05/2023;10:01:36;4,6149759;-52,1400948;3D
OK;21/05/2023;11:01:20;4,6151042;-52,1398926;3D
OK;21/05/2023;12:01:04;4,6148734;-52,1400719;3D
OK;21/05/2023;13:00:48;4,6147966;-52,1401215;3D
OK;21/05/2023;14:00:32;4,6148734;-52,1397896;3D
OK;21/05/2023;15:00:16;4,6143103;-52,1393013;3D
OK;21/05/2023;16:00:00;4,6136193;-52,1390991;3D
OK;21/05/2023;16:59:44;4,6139264;-52,1389427;2D
OK;21/05/2023;18:59:12;4,6141567;-52,1387138;2D
OK;21/05/2023;19:58:56;4,614131;-52,1383286;3D
OK;21/05/2023;20:58:40;4,61408;-52,1384583;3D
OK;21/05/2023;22:02:40;4,6137471;-52,1386871;3D
OK;21/05/2023;23:02:24;4,6137471;-52,1386375;3D
OK;22/05/2023;00:02:08;4,6137214;-52,1385841;3D
OK(corrected);22/05/2023;00:02:08;4,5072255;-52,3474808;2D
